1000, 9.37294, 10.1247, 10.131, 0.544707, 0.545411, 0.517951, 0.563175, 0.0165099, 3.55271e-11, 0.0119621, 18.2484, 16.8299, 18.5745, 17.8294, 
2000, 9.37294, 9.88005, 8.74131, 0.544707, 0.552485, 0.543579, 0.525598, 0.0165099, -3.73035e-10, 0.0155847, 18.2484, 17.3907, 17.9987, 18.7811, 
3000, 9.37294, 9.75314, 9.72741, 0.544707, 0.541219, 0.561373, 0.53782, 0.0165099, 0.0216819, 0.0182444, 18.2484, 17.7616, 18.7378, 21.5345, 
4000, 9.37294, 9.59461, 9.22803, 0.544707, 0.551727, 0.542249, 0.546757, 0.0165099, 0.0115797, 0.0154541, 18.2484, 17.7043, 18.8176, 17.1764, 
5000, 9.37294, 9.08762, 9.12099, 0.544707, 0.557944, 0.539933, 0.522038, 0.0165099, 0.0141811, 0.016642, 18.2484, 17.3858, 16.9592, 16.9119, 
6000, 9.37294, 9.51385, 9.31341, 0.544707, 0.536841, 0.541175, 0.541618, 0.0165099, 0.0409509, 0.0163573, 18.2484, 17.9539, 18.8346, 23.5835, 
7000, 9.37294, 9.49065, 9.46848, 0.544707, 0.541784, 0.547166, 0.54672, 0.0165099, 0.0269393, 0.0152452, 18.2484, 18.8836, 18.5224, 19.8573, 
8000, 9.37294, 9.24235, 9.33141, 0.544707, 0.554596, 0.536226, 0.521468, 0.0165099, 6.39488e-10, 0.0149321, 18.2484, 17.1939, 18.5356, 17.2686, 
9000, 9.37294, 9.21852, 9.5756, 0.544707, 0.545048, 0.549914, 0.569479, 0.0165099, 0.0153737, 0.0144264, 18.2484, 19.0012, 17.3444, 18.2276, 
10000, 9.37294, 9.50258, 9.42313, 0.544707, 0.543032, 0.554452, 0.563129, 0.0165099, 1.24345e-10, 0.0166087, 18.2484, 17.9656, 18.4762, 17.572, 
11000, 9.37294, 9.57788, 9.68116, 0.544707, 0.542428, 0.540815, 0.551119, 0.0165099, 0.0188682, 0.0162879, 18.2484, 18.5282, 18.653, 19.7138, 
12000, 9.37294, 9.48737, 9.62787, 0.544707, 0.532085, 0.54903, 0.558713, 0.0165099, 0.00397806, 0.0168162, 18.2484, 18.6425, 18.3715, 19.7509, 
